[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Account_Level],[Operands]
1,EQUITY AND LIABILITIES,EQUITY AND LIABILITIES,Owners Equity,Credit,No,Yes,,,E,
10,Shareholders' Funds,Shareholders' Funds,Owners Equity,Credit,No,Yes,,1,E,
100,Share Capital,Share Capital,Owners Equity,Credit,No,Yes,,10,E,
1001,Issued & Subscribed Capital,Issued & Subscribed Capital,Owners Equity,Credit,No,Yes,,100,E,
100101,Subscribed and fully paid,Subscribed and fully paid,Owners Equity,Credit,No,Yes,,1001,D,
100102,Subscribed and not fully paid,Subscribed and not fully paid,Owners Equity,Credit,No,Yes,,1001,D,
101,Reserves and Surplus,Reserves and Surplus,Liability,Credit,No,Yes,,10,E,
10101,Reserves & Surplus A/c,Reserves & Surplus A/c,Liability,Credit,Yes,No,RETAINEDEARNING_ACCT,101,S,
102,Profit & Loss Account - Surplus,Profit & Loss Account - Surplus,Liability,Credit,No,Yes,,10,D,
10201,Profit & Loss Account - Current Financial Year,Profit & Loss Account - Current Financial Year,Liability,Credit,Yes,No,INCOMESUMMARY_ACCT,102,S,
103,Money received against share warrants,Money received against share warrants,Owners Equity,Credit,No,Yes,,10,E,
104,Share Application Money Pending Allotment,Share Application Money Pending Allotment,Owners Equity,Credit,No,Yes,,1,E,
20,Non-Current Liabilities,Non-Current Liabilities,Liability,Credit,No,Yes,,1,E,
200,Longterm Borrowings,Longterm Borrowings,Liability,Credit,No,Yes,,20,D,
2001,Terms Loans - from Bank,Terms Loans - from Bank,Liability,Credit,No,Yes,,200,E,
2002,Terms Loans - from Financial Institutions,Terms Loans - from Financial Institutions,Liability,Credit,No,Yes,,200,E,
2003,Cash Credit,Cash Credit,Liability,Credit,No,Yes,,200,E,
2004,Bank Overdraft,Bank Overdraft,Liability,Credit,No,Yes,,200,E,
201,Deferred Tax Liability (Net),Deferred Tax Liability (Net),Liability,Credit,No,Yes,,20,E,
202,Other Longterm Liabilities,Other Longterm Liabilities,Liability,Credit,No,Yes,,20,E,
203,Longterm Provisions,Longterm Provisions,Liability,Credit,No,Yes,,20,E,
21,Current Liabilities,Current Liabilities,Liability,Credit,No,Yes,,1,E,
210,Short-term borrowings,Short-term borrowings,Liability,Credit,No,Yes,,21,E,
211,Trade payables,Trade payables,Liability,Credit,No,Yes,,21,E,
2110,Sundry Creditors,Sundry Creditors,Liability,Credit,No,Yes,,211,D,
211098,Sundry Creditors Suspense A/C,Sundry Creditors Suspense A/C,Liability,Credit,Yes,No,V_LIABILITY_ACCT,2110,S,
211099,Not Invoiced Receipts,Not Invoiced Receipts,Liability,Credit,Yes,No,NOTINVOICEDRECEIPTS_ACCT,2110,S,
212,Tax Liabilities,Tax Liabilities,Liability,Credit,No,Yes,,21,D,
21210,Service Tax,Service Tax,Liability,Credit,No,Yes,,212,D,
2121010,Basic Service Tax @ 12% - Output,Basic Service Tax,Liability,Credit,Yes,No,,21210,S,
2121020,Education Cess @ 2% - Output,Education Cess,Liability,Credit,Yes,No,,21210,S,
2121030,Secondary & Higher Education Cess @ 1% - Output,Secondary & Higher Education Cess,Liability,Credit,Yes,No,,21210,S,
2121050,Basic Service Tax @ 12% - Input,Basic Service Tax,Asset,Debit,Yes,No,,21210,S,
2121060,Education Cess @ 2% - Input,Education Cess,Asset,Debit,Yes,No,,21210,S,
2121070,Secondary & Higher Education Cess @ 1% - Input,Secondary & Higher Education Cess,Asset,Debit,Yes,No,,21210,S,
2121090,ST Control Account,ST Control Account,Liability,Credit,Yes,No,,21210,S,
21220,CST,CST,Liability,Credit,No,Yes,,212,D,
2122010,CST  2%,CST - 2%,Liability,Credit,Yes,No,,21220,S,
2122020,CST 12%,CST 12%,Liability,Credit,Yes,No,,21220,S,
21230,VAT – Karnataka,VAT,Liability,Credit,No,Yes,,212,D,
2123010,VAT 5% - Output,VAT 5% - Output,Liability,Credit,Yes,No,,21230,S,
2123011,VAT 14% - Output,VAT 14% - Output,Liability,Credit,Yes,No,,21230,S,
2123012,VAT 5.5% - Output,VAT 5.5% - Output,Liability,Credit,Yes,No,,21230,S,
2123013,VAT 14.5% - Output,VAT 14.5% - Output,Liability,Credit,Yes,No,,21230,S,
2123050,VAT 5% - Input,VAT 5% - Input,Asset,Debit,Yes,No,,21230,S,
2123051,VAT 14% - Input,VAT 14% - Input,Asset,Debit,Yes,No,,21230,S,
2123052,VAT 5.5% - Input,VAT 5.5% - Input,Asset,Debit,Yes,No,,21230,S,
2123053,VAT 14.5% - Input,VAT 14.5% - Input,Asset,Debit,Yes,No,,21230,S,
2123090,VAT Control Account,VAT Control Account,Liability,Credit,Yes,No,,21230,S,
21240,Professional Tax – Karnataka,Professional Tax – Karnataka,Liability,Credit,No,Yes,,212,D,
2124010,Professional Tax – Karnataka,Professional Tax – Karnataka,Liability,Credit,Yes,No,,21240,S,
21250,Excise Duty,Excise Duty,Liability,Credit,No,Yes,,212,D,
2125010,Basic Excise Duty – 12% - Output,Basic Excise Duty,Liability,Credit,Yes,No,,21250,S,
2125020,Education Cess – 2% - Output,Education Cess,Liability,Credit,Yes,No,,21250,S,
2125030,Secondary & Higher Education Cess – 1% - Output,Secondary & Higher Education Cess,Liability,Credit,Yes,No,,21250,S,
2125050,Basic Excise Duty – 12% - Input,Basic Excise Duty,Liability,Credit,Yes,No,,21250,S,
2125060,Education Cess – 2% - Input,Education Cess,Liability,Credit,Yes,No,,21250,S,
2125070,Secondary & Higher Education Cess – 1% - Input,Secondary & Higher Education Cess,Liability,Credit,Yes,No,,21250,S,
21260,Income Tax Payable,Income Tax Payable,Liability,Credit,No,Yes,,212,D,
21270,TDS Payable,TDS Payable,Liability,Credit,No,Yes,,212,D,
2127010,192B - Salaries,192B - Salaries,Liability,Credit,Yes,No,,21270,S,
2127011,194C- contract,194C- contract,Liability,Credit,Yes,No,,21270,S,
2127012,194J - professional and technical services,194J - professional and technical services,Liability,Credit,Yes,No,,21270,S,
2127013,194I  - Rent,194I  - Rent,Liability,Credit,Yes,No,,21270,S,
21299,Other Taxes,Other Taxes do not use,Liability,Credit,No,Yes,,212,D,
2129999,Other Taxes A/C,Other Taxes A/C,Liability,Credit,Yes,No,T_DUE_ACCT,21299,S,
